# Theta(deg),RCS(dBsm)
0.000,20.014
1.000,19.913
2.000,19.831
3.000,19.772
4.000,19.737
5.000,19.730
6.000,19.749
7.000,19.790
8.000,19.850
9.000,19.921
10.000,19.994
11.000,20.062
12.000,20.114
13.000,20.140
14.000,20.130
15.000,20.075
16.000,19.964
17.000,19.786
18.000,19.529
19.000,19.181
20.000,18.725
21.000,18.142
22.000,17.406
23.000,16.484
24.000,15.328
25.000,13.867
26.000,11.993
27.000,9.541
28.000,6.354
29.000,3.237
30.000,4.021
31.000,7.449
32.000,10.418
33.000,12.673
34.000,14.395
35.000,15.727
36.000,16.760
37.000,17.553
38.000,18.146
39.000,18.567
40.000,18.836
41.000,18.968
42.000,18.978
43.000,18.877
44.000,18.677
45.000,18.391
46.000,18.034
47.000,17.623
48.000,17.180
49.000,16.730
50.000,16.302
51.000,15.926
52.000,15.628
53.000,15.431
54.000,15.347
55.000,15.374
56.000,15.503
57.000,15.714
58.000,15.984
59.000,16.288
60.000,16.604
61.000,16.912
62.000,17.196
63.000,17.444
64.000,17.647
65.000,17.801
66.000,17.903
67.000,17.956
68.000,17.962
69.000,17.927
70.000,17.861
71.000,17.773
72.000,17.673
73.000,17.574
74.000,17.488
75.000,17.424
76.000,17.391
77.000,17.395
78.000,17.437
79.000,17.515
80.000,17.627
81.000,17.763
82.000,17.916
83.000,18.075
84.000,18.230
85.000,18.373
86.000,18.495
87.000,18.589
88.000,18.650
89.000,18.672
90.000,18.654
91.000,18.594
92.000,18.491
93.000,18.347
94.000,18.166
95.000,17.952
96.000,17.711
97.000,17.450
98.000,17.179
99.000,16.909
100.000,16.649
101.000,16.410
102.000,16.201
103.000,16.029
104.000,15.898
105.000,15.806
106.000,15.748
107.000,15.715
108.000,15.696
109.000,15.675
110.000,15.638
111.000,15.570
112.000,15.456
113.000,15.282
114.000,15.039
115.000,14.716
116.000,14.307
117.000,13.809
118.000,13.222
119.000,12.551
120.000,11.808
121.000,11.016
122.000,10.209
123.000,9.433
124.000,8.751
125.000,8.235
126.000,7.954
127.000,7.960
128.000,8.261
129.000,8.822
130.000,9.574
131.000,10.435
132.000,11.329
133.000,12.199
134.000,13.001
135.000,13.706
136.000,14.297
137.000,14.759
138.000,15.083
139.000,15.261
140.000,15.286
141.000,15.148
142.000,14.834
143.000,14.329
144.000,13.608
145.000,12.639
146.000,11.372
147.000,9.739
148.000,7.660
149.000,5.128
150.000,2.735
151.000,2.491
152.000,4.647
153.000,7.128
154.000,9.189
155.000,10.810
156.000,12.075
157.000,13.062
158.000,13.826
159.000,14.412
160.000,14.851
161.000,15.171
162.000,15.396
163.000,15.549
164.000,15.653
165.000,15.731
166.000,15.806
167.000,15.899
168.000,16.029
169.000,16.209
170.000,16.445
171.000,16.736
172.000,17.073
173.000,17.445
174.000,17.838
175.000,18.238
176.000,18.633
177.000,19.015
178.000,19.376
179.000,19.710
180.000,20.014
